ANP;DESCRICAO
110206007;FLOTTA OCIDENTAL
110203022;FORCADOS
110204019;FOROOZAN
110206008;FORTIES
110206009;FORTIES BLEND
110101043;FRADE
110201020;FURRIAL
110203023;GAMBA
110101017;GAROUPA
110101018;GAROUPINHA
210302004;GAS ACIDO
210101001;GAS COMBUSTIVEL
210302003;GAS DE XISTO
210302002;GAS INTERMEDIARIO
210204001;GAS LIQUEFEITO INTERMEDIARIO
220101003;GAS NATURAL COMPRIMIDO
220101004;GAS NATURAL LIQUEFEITO
220101002;GAS NATURAL SECO
220101001;GAS NATURAL UMIDO
220101005;GAS NATURAL VEICULAR
220101006;GAS NATURAL VEICULAR PADRAO
130202001;GASES LIQUEFEITOS PARA REPROCESSAMENTO
130202005;GASOLEO PARA REPROCESSAMENTO
520101001;GASOLEOS
320101001;GASOLINA A COMUM
320101003;GASOLINA A FORA DE ESPECIFICACAO
320101002;GASOLINA A PREMIUM
320103001;GASOLINA AUTOMOTIVA PADRAO
320102002;GASOLINA C ADITIVADA
320102001;GASOLINA C COMUM
320102004;GASOLINA C FORA DE ESPECIFICACAO
320102003;GASOLINA C PREMIUM
320201001;GASOLINA DE AVIACAO
320201002;GASOLINA DE AVIACAO FORA DE ESPECIFICACAO
220102001;GASOLINA NATURAL (C5+)
320301002;GASOLINA PARA EXPORTACAO
110204020;GAVARZIN
110203024;GEISUM
120205012;GERAGAI
110207002;GIPPSLAND BLEND
110203087;GIRASSOL
730101002;GLICERINA
210203001;GLP
210203002;GLP FORA DE ESPECIFICACAO
110104005;GOLFINHO
140101023;GORDURA BOVINA
140101024;GORDURA DE FRANGO
140101025;GORDURA DE PORCO
650101001;GRAXAS MINERAIS
110207003;GRIFFIN
110201021;GUAFITA BLEND
110103013;GUANAMBI
110201022;GUANIPA
110203025;GULF OF SUEZ
110203026;GULF OF SUEZ MIX
110206011;GULL FALKS
110206010;GULL FALKS C
110203027;HASSI MESSAOUD
110203028;HASSI RMEL
110203028;HASSI RMEL
330101008;HEPTANO
330101002;HEXANO
330101009;HEXENO
620101001;HIDRAULICO
610201001;HIDROGENADO LEVE
610201002;HIDROGENADO MEDIO
610201003;HIDROGENADO PESADO
710101001;HIDROGENIO
110203074;HUNGO
110201023;HYDRA
110103008;ILHEUS
110203029;IMA LIGHT
120205005;INDIANO
110204021;IRANIANO LEVE
110204022;IRANIANO MISTURA
110204023;IRANIANO PESADO
620101004;ISOLANTE TIPO A
620101005;ISOLANTE TIPO B
330101010;ISOPENTANO
110202002;ISTHMUS
110202003;ISTHMUS MAYA
110207004;JABIRU
110101046;JABUTI
110204024;JAMBUR BAR HASSAN
110113001;JIRIBATUBA
110105015;JOAO DE BARRO
110101019;JUBARTE
110103015;JURITI
110205025;KAJI SEMOGA
110204025;KANGAN
110204026;KHAFJI
110204027;KHAFJI BLEND
120204009;KHUFF
110205026;KIKEH
110204028;KIRKUK
110204029;KIRKUK BLEND
110203080;KISSANJE
120207004;KITAN
110203030;KITINA
110105025;KOCH
110203031;KOLE
110203084;KUITO
110203032;KUTUBU
110204030;KUWAIT
110205009;LABUAN
110104004;LAGOA PARDA
110201024;LAGOCINCO
110201025;LAGOCINCO LIVIANO
110201026;LAGOMEDIO
110201027;LAGOTRECO
110201028;LAGOTRECO HEAVY
110201029;LAGOTRECO MEDIO
110201030;LAGUNA
110207005;LAMINARIA
110204031;LAVAN BLEND
110207006;LEGENDRE
110201031;LEONA
110201032;LEONA 21,9
110201033;LEONA 24
120204002;LIBIA
110101020;LINGUADO
220102002;LIQUIDO DE GAS NATURAL
110105008;LIVRAMENTO
110203033;LOKELE
110105009;LORENA
110201034;LORETO
110203034;LUCINA MARINE
110203035;LUCULA
640201001;MACROOLEOSAS
120205011;MALAMPAYA
110101021;MALHADO
120103001;MANATI
110203036;MANDJI
120204003;MARGHAM
110201035;MARIA IGNES
110204032;MARIB LIGHT
110101022;MARIMBA
110201036;MARLAGO
110101023;MARLIM
110101024;MARLIM LESTE
110101025;MARLIM SUL
110101039;MARLIN/VOADOR
110204033;MASILA BLEND
120207002;MAUI
110202004;MAYA
110202005;MAYA LEVE
110203037;MBIA
110203037;MBIA
110201037;MEDANITO
110203078;MELLITAH
120203005;MELLITAH
120204010;MELLITAH
110201038;MEREY
110201039;MEREY/LEONA
120101001;MERLUZA
110201040;MESA
110201041;MESCLA VENEZUELANO
740101007;METIL TERC BUTIL ETER - MTBE
420201003;MGO
640101001;MICROOLEOSAS
110205027;MINAS
110103009;MIRANGA
110103010;MIRANGA/AGUA GRANDE
110205010;MIRI LEVE
820101018;MIST. DIESEL MARITIMO-95% / BIODIESEL-5%
820101017;MIST. DIESEL MARITIMO-98% / BIODIESEL-2%
820101006;MIST. DIESEL-80% / BIODIESEL-20% - B20
820101014;MIST. DIESEL-80% / BIODIESEL-20% - B20 INT ADITIV
820101006;MIST. DIESEL-80% / BIODIESEL-20% - B20 INT COMUM
820101016;MIST. DIESEL-80% / BIODIESEL-20% - B20 MET ADITIV
820101015;MIST. DIESEL-80% / BIODIESEL-20% - B20 MET COMUM
820101006;MIST. DIESEL-80% / BIODIESEL-20% - B5 INT COMUM
820101005;MIST. DIESEL-85% / BIODIESEL-15% - B15
820101004;MIST. DIESEL-90% / BIODIESEL-10% - B10
820101003;MIST. DIESEL-95% / BIODIESEL-5% - B5
820101011;MIST. DIESEL-95% / BIODIESEL-5% - B5 INT ADITIVADO
820101003;MIST. DIESEL-95% / BIODIESEL-5% - B5 INT COMUM
820101013;MIST. DIESEL-95% / BIODIESEL-5% - B5 MET ADITIVADO
820101012;MIST. DIESEL-95% / BIODIESEL-5% - B5 MET COMUM
820101002;MIST. DIESEL-98% / BIODIESEL-2% - B2
820101007;MIST. DIESEL-98% / BIODIESEL-2% - B2 INT ADITIVADO
820101002;MIST. DIESEL-98% / BIODIESEL-2% - B2 INT COMUM
820101009;MIST. DIESEL-98% / BIODIESEL-2% - B2 MET ADITIVADO
820101008;MIST. DIESEL-98% / BIODIESEL-2% - B2 MET COMUM
110301001;MISTURA DE PETROLEOS
110208001;MISTURA DE PETROLEOS IMPORTADOS
110203038;MOANDA
110203089;MONDO
110201042;MONOGAS
110101026;MOREIA
620502001;MOTORES 2 TEMPOS
110203039;MOUDI
110202008;MSW EDMONTON
110204034;MURBAN
110110001;NACIONAL MISTURA
310102001;NAFTA DE XISTO
310103001;NAFTA FORA DE ESPECIFICACAO
310101001;NAFTA PETROQUIMICA
110101027;NAMORADO
110205011;NANHAI LIGHT
110201062;NAPO
110203040;NEMBA
